  287538165	  287541049
   17487870	   17487870
  166465484	  166465522
   17487870	   17487870
 1887226188	 1887288579
   17487870	   17487870
   64915877	   64916395
   17487870	   17487870
   69624755	   69625711
   17487870	   17487870
   41130643	   41130704
   17487870	   17487870
   82921406	   82922854
   17487870	   17487870
   17487881	   17487881
   17487870	   17487870
 2776073664	 2776165324
 4027013707	 4030175983
 1136453024	 1136481730
 1115311814	 1115344860
 2268257575	 2268327745
 2207310374	 2207378245
 3144808711	 3147962176
 3893319508	 3895021370
 1193642066	 1193818630
 4115118852	 4133298081
 1157550164	 1157727806
 3581661897	 3581779947
 2137991947	 2138344415
 3639456320	 3639858759
 1674814307	 1675010607
 1641262541	 1641457410
